날짜,시도지역코드,발생건수(건)
20140324,42,19539
20140324,43,20021
20140324,44,31390
20140324,45,25410
20140324,46,24929
20140324,47,36644
20140324,48,48096
20140324,49,8099
20140324,99,705855
20140325,11,86656
20140325,26,35032
20140325,27,23488
20140325,28,26714
20140325,29,12781
20140325,30,16264
20140325,31,13042
20140325,41,119821
20140325,42,13581
20140325,43,14519
20140325,44,22177
20140325,45,17452
20140325,46,17994
20140325,47,25497
20140325,48,31773
20140325,49,5945
20140325,99,482958
20140326,11,82944
20140326,26,32559
20140326,27,22835
20140326,28,24962
20140326,29,12635
20140326,30,15560
20140326,31,11518
20140326,41,110557
20140326,42,12533
20140326,43,13115
20140326,44,20267
20140326,45,16865
20140326,46,17567
20140326,47,23934
20140326,48,30847
20140326,49,5689
20140326,99,454607
20140327,11,83444
20140327,26,32760
20140327,27,22226
20140327,28,25721
20140327,29,12374
20140327,30,15660
20140327,31,11927
20140327,41,113869
20140327,42,12465
20140327,43,13002
20140327,44,20258
20140327,45,16391
20140327,46,16476
20140327,47,23113
20140327,48,29717
20140327,49,5085
20140327,99,454703
20140328,11,88510
20140328,26,33882
20140328,27,23187
20140328,28,26262
20140328,29,13304
20140328,30,15284
20140328,31,12071
20140328,41,116662
20140328,42,12930
20140328,43,13457
20140328,44,20448
20140328,45,17066
20140328,46,17020
20140328,47,23886
20140328,48,30747
20140328,49,5490
20140328,99,470458
20140329,11,87911
20140329,26,32702
20140329,27,24464
20140329,28,27161
20140329,29,13855
20140329,30,17011
20140329,31,12527
20140329,41,120891
20140329,42,12208
20140329,43,13573
20140329,44,19889
20140329,45,16495
20140329,46,16225
20140329,47,22980
20140329,48,29932
20140329,49,5209
20140329,99,473269
20140330,11,9889
20140330,26,5350
20140330,27,3650
20140330,28,5561
20140330,29,2961
20140330,30,4561
20140330,31,3012
20140330,41,23852
20140330,42,1731
20140330,43,3213
20140330,44,4198
20140330,45,3309
20140330,46,5109
20140330,47,3955
20140330,48,5047
20140330,49,1908
20140330,99,87359
20140331,11,117752
20140331,26,44915
20140331,27,30849
20140331,28,36000
20140331,29,17560
20140331,30,21023
20140331,31,16470
20140331,41,157745
20140331,42,17133
20140331,43,17740
20140331,44,27577
20140331,45,23050
20140331,46,22231
20140331,47,32789
20140331,48,41744
20140331,49,7122
20140331,99,632047
20140401,11,81312
20140401,26,31228
20140401,27,21397
20140401,28,24773
20140401,29,12697
20140401,30,14919
20140401,31,11371
20140401,41,111100
20140401,42,12063
20140401,43,12703
20140401,44,19787
20140401,45,16182
20140401,46,16400
20140401,47,22989
